問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解番号(0-3),カテゴリー(パーティ/歴史/マインクラフト/F1),難易度(1-5)
2025年のF1世界選手権において、ドライバーズチャンピオンを獲得したドライバーは誰か？,マックス・フェルスタッペン,ランド・ノリス,シャルル・ルクレール,オスカー・ピアストリ,1,F1,1
2025年のレギュレーション変更により、燃料を除くF1マシンの最低重量は何kgに変更されたか？,795kg,798kg,800kg,802kg,2,F1,3
2025年から導入された「ドライバー冷却システム」の使用が義務付けられる条件として、FIAの気象レーダーが予測する気温は何℃を超えた場合か？,28.5℃,30.5℃,32.0℃,35.0℃,1,F1,4
2025年の競技規定変更により、廃止されたポイント制度はどれか？,ポールポジションポイント,スプリント優勝ポイント,ファステストラップポイント,10位入賞ポイント,2,F1,2
2025年シーズンより、ルーキードライバーのフリープラクティス（FP）への起用義務は年間何回に変更されたか？,1回,2回,3回,4回,3,F1,3
2025年のF1開幕戦が開催された国はどこか？,バーレーン,サウジアラビア,オーストラリア,日本,2,F1,2
2025年シーズン、ルイス・ハミルトンがメルセデスから移籍したチームはどこか？,レッドブル,フェラーリ,マクラーレン,アストンマーティン,1,F1,1
2025年のコンストラクターズチャンピオンを獲得したチームはどこか？,レッドブル・レーシング,メルセデス,スクーデリア・フェラーリ,マクラーレン・メルセデス,3,F1,2
2025年シーズンからカルロス・サインツが所属したチームはどこか？,ザウバー,ウィリアムズ,アルピーヌ,ハース,1,F1,2
2025年のモナコGPで導入された「特別ルール」の内容として正しいものはどれか？,予選方式の変更,最低2回のピットストップ義務付け,DRSゾーンの廃止,レース周回数の短縮,1,F1,4
2025年、角田裕毅がシーズン途中の第3戦日本GPから昇格したチームはどこか？,レーシングブルズ,アストンマーティン,レッドブル・レーシング,ウィリアムズ,2,F1,2
2025年の技術規定変更で、リアウイングのギャップ（隙間）の制限は2mmから何mmに変更されたか？,1.5mm,1.0mm,0.5mm,0.25mm,2,F1,5
2025年シーズン、アンドレア・キミ・アントネッリがデビューしたチームはどこか？,ウィリアムズ,メルセデス,ハース,アルピーヌ,1,F1,2
2025年のF1日本GPはシリーズの第何戦として開催されたか？,第2戦,第3戦,第4戦,第16戦,1,F1,2
旧型車（旧車）でのテスト規制において、各チームが年間に実施できる最大日数は何日か？,10日間,15日間,20日間,30日間,2,F1,4
2025年シーズンにフェラーリのタイトルスポンサーに就任した企業はどこか？,Oracle,HP Inc.,Santander,Cognizant,1,F1,3
2025年シーズン、ニコ・ヒュルケンベルグが所属したチームはどこか？,ハース,ウィリアムズ,ザウバー,アルピーヌ,2,F1,3
角田裕毅が2025年シーズン途中から使用を開始したヘルメットメーカーはどこか？,アライ（Arai）,ベル（Bell）,シューベルト（Schuberth）,スティロ（Stilo）,2,F1,4
2025年シーズンのF1全チーム合同発表会イベント『F1 75』が開催された場所はどこか？,シルバーストン,O2アリーナ（ロンドン）,バーレーン・インターナショナル・サーキット,モンツァ・サーキット,1,F1,3
2025年シーズンにデビューしたジャック・ドゥーハンが最初に所属していたチームはどこか？,アルピーヌ,ウィリアムズ,ハース,ザウバー,0,F1,3
2025年のレギュレーションで、ドライバーの最低体重許容量は何kgに変更されたか？,78kg,80kg,82kg,85kg,2,F1,4
2025年の中国GPレース後に「最低重量およびプランク規則違反」で失格となったチームの組み合わせはどれか？,レッドブルとハース,フェラーリとアルピーヌ,マクラーレンとウィリアムズ,メルセデスとアストンマーティン,1,F1,4
2025年シーズン、ハースF1チームでエステバン・オコンのチームメイトとなったドライバーは誰か？,ケビン・マグヌッセン,ニコ・ヒュルケンベルグ,オリバー・ベアマン,バルテリ・ボッタス,2,F1,3
角田裕毅がF1デビューを果たした年はいつか？,2019年,2020年,2021年,2022年,2,F1,2
角田裕毅が2018年にシリーズチャンピオンを獲得したカテゴリーはどれか？,FIA-F4日本選手権,全日本カート選手権,FIA F3選手権,スーパーフォーミュラ,0,F1,3
2025年シーズン、ウィリアムズのタイトルスポンサーに就任した企業はどこか？,Gulf,Duracell,Atlassian,Komatsu,2,F1,4
2025年シーズン中にアルピーヌから契約解除されたドライバーは誰か？,ピエール・ガスリー,エステバン・オコン,ジャック・ドゥーハン,フランコ・コラピント,2,F1,3
2025年のイタリアGP（モンツァ）で優勝したドライバーは誰か？,シャルル・ルクレール,マックス・フェルスタッペン,ランド・ノリス,ジョージ・ラッセル,1,F1,3
2025年のドライバーズランキングで3位となったドライバーは誰か？,オスカー・ピアストリ,ジョージ・ラッセル,シャルル・ルクレール,ルイス・ハミルトン,0,F1,3
2025年シーズン、ピットレーンスタートのドライバーに関して変更されたルールはどれか？,フォーメーションラップへの参加義務化,スタート時のタイヤ選択自由化,ピット出口の信号待ち時間の短縮,セーフティカー先導時の追い抜き許可,0,F1,4
マックス・フェルスタッペンが休暇中にニュルブルクリンクで運転し、許可証を取得した車両カテゴリーは何か？,LMP2,GT3,フォーミュラE,ラリーカー,1,F1,2
ランド・ノリスとキミ・アントネッリが休暇中に観戦に訪れたモータースポーツイベントは何か？,WRC,MotoGP,インディカー,フォーミュラE,1,F1,2
オスカー・ピアストリがオーストラリアスポーツ殿堂から授与された賞の名前は何か？,The Don,The Bradman,The Freeman,The Ace,0,F1,4
アレクサンダー・アルボンがウィンターブレイク中にパートナーと訪れた国はどこか？,日本,モルディブ,ブータン,アイスランド,2,F1,5
2025年のグッドウッド・フェスティバル・オブ・スピードに参加したF1ドライバーに含まれないのは誰か？,エステバン・オコン,オリバー・ベアマン,ガブリエル・ボルトレト,ルイス・ハミルトン,3,F1,4
